"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","rand","标注类别词"
"西蒙 阿依伦干白葡萄酒750ml/瓶(西班牙)","西蒙, 阿, 依, 伦, 干, 白葡萄酒, 750ml, /, 瓶, (, 西班牙, )","西蒙","99999","","0","0-5135-5140-5238-5393:食品、饮料、酒水-酒-葡萄酒-西班牙","西蒙 DON SIMON","9587886","0","白葡萄酒"
"奥廉穆斯托刻伊 甜白葡萄酒（富尔民特）375ml/瓶","奥, 廉, 穆, 斯托, 刻, 伊, 甜, 白葡萄酒, （, 富, 尔, 民, 特, ）, 375ml, /, 瓶","","99999","","0","0-5135-5140-5238-5394:食品、饮料、酒水-酒-葡萄酒-匈牙利","咏萄 Everwines","10176213","0","白葡萄酒"
"奥廉穆斯托刻伊 甜白葡萄酒（阿苏）500ml/瓶","奥, 廉, 穆, 斯托, 刻, 伊, 甜, 白葡萄酒, （, 阿, 苏, ）, 500ml, /, 瓶","","99999","","0","0-5135-5140-5238-5394:食品、饮料、酒水-酒-葡萄酒-匈牙利","咏萄 Everwines","10176224","0","白葡萄酒"
"碧洛德 博弗拉斯半干红葡萄酒750ml/瓶Bor Forras- late harvest","碧洛德, 博, 弗, 拉, 斯, 半, 干, 红葡萄酒, 750ml, /, 瓶, Bor, forras, -, late, harvest","碧洛德","99999","","0","0-5135-5140-5238-5394:食品、饮料、酒水-酒-葡萄酒-匈牙利","碧洛德","139946","0","红葡萄酒"
"碧洛德 费耶拉妮半干白750ml/瓶 Feher Arany- Muskat","碧洛德, 费, 耶, 拉, 妮, 半, 干, 白, 750ml, /, 瓶, feher, arany, -, muskat","碧洛德","1","","0","0-5135-5140-5238-5394:食品、饮料、酒水-酒-葡萄酒-匈牙利","碧洛德","139935","0",""
"五粮液  52度六和液500ml/瓶","五粮液, 52, 度, 六和, 液, 500ml, /, 瓶","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","10756544","1",""
"五粮液 (1618)39度500ml/瓶","五粮液, (, 1618, ), 39, 度, 500ml, /, 瓶","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","486157","0",""
"五粮液 (1618)52度500ml/瓶","五粮液, (, 1618, ), 52, 度, 500ml, /, 瓶","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","486146","0",""
"五粮液 39度500ml/瓶","五粮液, 39, 度, 500ml, /, 瓶","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","486215","0",""
"五粮液 52度500ml","五粮液, 52, 度, 500ml","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","160816","0",""
"五粮液老酒56度500ML/瓶","五粮液, 老酒, 56, 度, 500ML, /, 瓶","五粮液","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮液","486191","0",""
"35度五粮醇500ml/瓶","35, 度, 五粮醇, 500ml, /, 瓶","五粮醇","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","五粮醇","200715","0",""
"京酒 38度 500ml/盒","京酒, 38, 度, 500ml, /, 盒","京酒","1","盒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","京酒","9008235","0",""
"京酒 特制38度500ml/瓶","京酒, 特制, 38, 度, 500ml, /, 瓶","京酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","京酒","10974659","0",""
"京酒 特制52度500ml/瓶","京酒, 特制, 52, 度, 500ml, /, 瓶","京酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","京酒","10974660","0",""
"八八 坑道58度马到成功600ml/瓶","八八, 坑道, 58, 度, 马到成功, 600ml, /, 瓶","八八","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","八八","10368691","0",""
"中信组合4","中信, 组合, 4","中信","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","剑南春","9997324","0",""
"剑南春 52度500ml/瓶","剑南春, 52, 度, 500ml, /, 瓶","剑南春","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","剑南春","160827","0",""
"剑南春 52度500ml/瓶、好想你 新郑红枣1000g/袋、光明 莫斯利安酸牛奶（原味）110g*18 、徐福记 奶油沙琪玛560g/包","剑南春, 52, 度, 500ml, /, 瓶, 、, 好想你, 新郑, 红枣, 1000g, /, 袋, 、, 光明, 莫, 斯, 利, 安, 酸牛奶, （, 原味, ）, 110g, *, 18, 、, 徐福记, 奶油, 沙琪玛, 560g, /, 包","剑南春","99999","沙琪玛","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","剑南春","9655587","0","红枣, 沙琪玛"
"50°白瓷瓶北京二锅头500ml","50, °, 白, 瓷瓶, 北京二锅头, 500ml","北京二锅头","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","北京二锅头","548696","0",""
"口子 五年口子窖白酒400ml/瓶","口子, 五年, 口子, 窖, 白酒, 400ml, /, 瓶","口子","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","口子","326692","0","白酒"
"濉溪 口子酒500ml/瓶","濉溪, 口子酒, 500ml, /, 瓶","口子酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","口子","326670","0",""
"金口子 白酒500ml/瓶","金, 口子, 白酒, 500ml, /, 瓶","口子","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","口子","121426","0","白酒"
"古井 淡雅42度450ml/瓶","古井, 淡雅, 42, 度, 450ml, /, 瓶","古井","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","9701682","0",""
"古井 烧酒450ml/瓶","古井, 烧酒, 450ml, /, 瓶","古井","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","326658","0","烧酒"
"古井 精品淡雅型白酒450ml/瓶","古井, 精品, 淡雅, 型, 白酒, 450ml, /, 瓶","古井","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","326603","0","白酒"
"古井 红运古井贡白酒500ml/瓶","古井, 红运, 古井贡, 白酒, 500ml, /, 瓶","古井","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","326614","0","白酒"
"古井 老窖500ml/瓶","古井, 老窖, 500ml, /, 瓶","古井","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","326625","0",""
"古井 贡酒50度5年原浆425ml/瓶","古井, 贡酒, 50, 度, 5, 年, 原浆, 425ml, /, 瓶","古井","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","9701671","0","贡酒"
"龙韵 古井贡500ml/瓶","龙韵, 古井贡, 500ml, /, 瓶","龙韵","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","古井","326590","0",""
"国窖  浓香型白酒（1573）38度 500ml/盒","国窖, 浓, 香型, 白酒, （, 1573, ）, 38, 度, 500ml, /, 盒","国窖","1","白酒, 盒","2","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","国窖","9002759","0","白酒"
"五粮液 天缸酒39度500ML/瓶","五粮液, 天缸酒, 39, 度, 500ML, /, 瓶","五粮液","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","天缸酒","10616123","0","天缸酒"
"五粮液 天缸酒45度500ML/瓶","五粮液, 天缸酒, 45, 度, 500ML, /, 瓶","五粮液","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","天缸酒","10616134","0","天缸酒"
"五粮液 天缸酒52度500ML/瓶","五粮液, 天缸酒, 52, 度, 500ML, /, 瓶","五粮液","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","天缸酒","10616145","0","天缸酒"
"宋河粮液 国字3号50度500ML/瓶","宋河, 粮, 液, 国字, 3, 号, 50, 度, 500ML, /, 瓶","宋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","宋河","10736068","0",""
"宋河粮液 国字6号50度500ML/瓶","宋河, 粮, 液, 国字, 6, 号, 50, 度, 500ML, /, 瓶","宋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","宋河","10736046","0",""
"宋河粮液 特制平和50度500ML/瓶","宋河, 粮, 液, 特制, 平和, 50, 度, 500ML, /, 瓶","宋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","宋河","10736079","0",""
"宋河粮液 精制平和50度500ML/瓶","宋河, 粮, 液, 精制, 平和, 50, 度, 500ML, /, 瓶","宋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","宋河","10736080","0",""
"小糊涂仙 52度250ml/瓶","小糊涂仙, 52, 度, 250ml, /, 瓶","小糊涂仙","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","小糊涂仙","10584368","0",""
"小糊涂仙 52度500ml/瓶","小糊涂仙, 52, 度, 500ml, /, 瓶","小糊涂仙","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","小糊涂仙","161795","0",""
"42度杏花村五星喜酒475ml/瓶","42, 度, 杏花村, 五星, 喜酒, 475ml, /, 瓶","杏花村","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","杏花村","446651","0","喜酒"
"柯诺苏纯净长相思白葡萄酒","柯诺苏, 纯净, 长, 相思, 白葡萄酒","柯诺苏","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","柯诺苏","10990304","0","白葡萄酒"
"水井坊 52度500ml/瓶","水井坊, 52, 度, 500ml, /, 瓶","水井坊","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","水井坊","161773","0",""
"水井坊43度50ml/瓶(促销)","水井坊, 43, 度, 50ml, /, 瓶, (, 促销, )","水井坊","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","水井坊","10674825","0",""
"沱牌 45度特制二星沱牌酒480ml/瓶","沱牌, 45, 度, 特制, 二, 星, 沱牌, 酒, 480ml, /, 瓶","沱牌","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","沱牌","10325970","0","酒"
"沱牌 45度精品沱牌酒480ml/盒","沱牌, 45, 度, 精品, 沱牌, 酒, 480ml, /, 盒","沱牌","99999","酒, 盒","2","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","沱牌","10325981","0","酒"
"沱牌 50度五星沱牌曲酒500ml/盒","沱牌, 50, 度, 五星, 沱牌, 曲酒, 500ml, /, 盒","沱牌","1","盒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","沱牌","10325992","0",""
"泸城 45°泸城老窖精制特曲125ml/瓶","泸城, 45, °, 泸城, 老窖, 精制, 特, 曲, 125ml, /, 瓶","泸城","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸城","315866","0",""
"泸城 46°瓷瓶泸城老窖窖酒500ml/瓶","泸城, 46, °, 瓷瓶, 泸城, 老窖, 窖酒, 500ml, /, 瓶","泸城","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸城","315855","0","窖酒"
"泸城 52°桶装泸窖特曲500ml/瓶","泸城, 52, °, 桶装, 泸, 窖, 特, 曲, 500ml, /, 瓶","泸城","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸城","315877","0",""
"泸城 52°陈香老窖135ml/瓶","泸城, 52, °, 陈, 香, 老窖, 135ml, /, 瓶","泸城","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸城","315844","0",""
"52度泸州古酒475ml/瓶","52, 度, 泸州, 古, 酒, 475ml, /, 瓶","泸州","1","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","200759","0",""
"泸州 52°泸州老窖精酿窖酒500ml/瓶","泸州, 52, °, 泸州老窖, 精, 酿, 窖酒, 500ml, /, 瓶","泸州","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","315968","0","窖酒"
"泸州 老窖头曲52度125ml/瓶","泸州, 老窖, 头, 曲, 52, 度, 125ml, /, 瓶","泸州","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","10543336","0",""
"泸州 老窖头曲52度500ml/瓶","泸州, 老窖, 头, 曲, 52, 度, 500ml, /, 瓶","泸州","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","10543347","1",""
"泸州 老窖红瓷头曲42度500ml/瓶","泸州, 老窖, 红, 瓷, 头, 曲, 42, 度, 500ml, /, 瓶","泸州","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","10543314","0",""
"泸州 老窖青瓷头曲42度500ml/瓶","泸州, 老窖, 青瓷, 头, 曲, 42, 度, 500ml, /, 瓶","泸州","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州","10543325","0",""
"泸州老窑 52度泸纯三年窑500ml/瓶","泸州老窑, 52, 度, 泸, 纯, 三年, 窑, 500ml, /, 瓶","泸州老窑","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州老窑","10637602","0",""
"泸州老窖 52°(紫砂大曲)500ml/瓶","泸州老窖, 52, °, (, 紫, 砂, 大曲, ), 500ml, /, 瓶","泸州老窖","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州老窖","9609841","0",""
"泸州老窖 52度精制二曲125ml/瓶","泸州老窖, 52, 度, 精制, 二, 曲, 125ml, /, 瓶","泸州老窖","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州老窖","151688","1",""
"泸州老窖 52度精品 500ml/瓶","泸州老窖, 52, 度, 精品, 500ml, /, 瓶","泸州老窖","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","泸州老窖","538852","0",""
"洋河 52°蓝色经典(天之蓝)480ml/瓶","洋河, 52, °, 蓝色, 经典, (, 天, 之, 蓝, ), 480ml, /, 瓶","洋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","洋河","9609885","0",""
"洋河 52°蓝色经典(海之蓝)480ml/瓶","洋河, 52, °, 蓝色, 经典, (, 海, 之, 蓝, ), 480ml, /, 瓶","洋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","洋河","9609874","0",""
"洋河 大曲 52°(蓝瓷)480ml/瓶","洋河, 大曲, 52, °, (, 蓝, 瓷, ), 480ml, /, 瓶","洋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","洋河","9609863","1",""
"洋河 大曲 52°(青瓷)500ml/瓶","洋河, 大曲, 52, °, (, 青瓷, ), 500ml, /, 瓶","洋河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","洋河","9609852","0",""
"浏阳河  金世纪五星52度  450ml/瓶","浏阳河, 金, 世纪, 五星, 52, 度, 450ml, /, 瓶","浏阳河","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","浏阳河","9006728","0",""
"浏阳河 2008相约酒475ml/瓶","浏阳河, 2008, 相约, 酒, 475ml, /, 瓶","浏阳河","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","浏阳河","200748","0","酒"
"牛栏山 46度绿瓷(珍品三十年)500ml/瓶","牛栏山, 46, 度, 绿, 瓷, (, 珍品, 三, 十年, ), 500ml, /, 瓶","牛栏山","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","牛栏山","9597471","0",""
"牛栏山 52度黄瓷(经典)500ml/瓶","牛栏山, 52, 度, 黄, 瓷, (, 经典, ), 500ml, /, 瓶","牛栏山","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","牛栏山","9597460","0",""
"牛栏山二锅头酒46度  500ml/瓶","牛栏山, 二锅头, 酒, 46, 度, 500ml, /, 瓶","牛栏山","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","牛栏山","9003605","0","酒"
"52度琼浆玉液酒500ml/瓶","52, 度, 琼浆玉液, 酒, 500ml, /, 瓶","琼浆玉液","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","琼浆玉液","446662","0","酒"
"皖酒 百年皖酒41°450ml","皖酒, 百年, 皖酒, 41, °, 450ml","皖酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","皖酒","452482","0",""
"皖酒 皖国春秋41°450ml","皖酒, 皖, 国, 春秋, 41, °, 450ml","皖酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","皖酒","452471","0",""
"38度保健竹叶青500ml/瓶","38, 度, 保健, 竹叶青, 500ml, /, 瓶","竹叶青","1","保健","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","竹叶青","167668","0","保健"
"红星 二锅头酒56度 100ml/瓶","红星, 二锅头, 酒, 56, 度, 100ml, /, 瓶","红星","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","9003478","0","酒"
"红星 二锅头酒56度 500ml/瓶","红星, 二锅头, 酒, 56, 度, 500ml, /, 瓶","红星","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","9000219","0","酒"
"红星 精品二锅头46度500ml/瓶","红星, 精品, 二锅头, 46, 度, 500ml, /, 瓶","红星","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","10974682","0",""
"红星二锅头 52度青花瓷500ml/瓶","红星, 二锅头, 52, 度, 青花, 瓷, 500ml, /, 瓶","红星","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","9597426","0",""
"红星二锅头 52度青花瓷750ml/瓶","红星, 二锅头, 52, 度, 青花, 瓷, 750ml, /, 瓶","红星","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","9597437","0",""
"红星二锅头 56度小白扁100ml/瓶","红星, 二锅头, 56, 度, 小白, 扁, 100ml, /, 瓶","红星","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红星","9597346","0",""
"红荔牌 红米酒610ml","红荔牌, 红, 米酒, 610ml","红荔牌","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","红荔牌","10029502","0","米酒"
"老郎酒(1956)53度500ml/瓶","老, 郎酒, (, 1956, ), 53, 度, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","老郎","10637646","0",""
"舍得 53度500ml/瓶","舍得, 53, 度, 500ml, /, 瓶","舍得","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","舍得","10584404","0",""
"艳阳春 50度桶装高粱酒2000ml/桶","艳阳春, 50, 度, 桶装, 高粱酒, 2000ml, /, 桶","艳阳春","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","艳阳春","10325925","0","高粱酒"
"艳阳春 50度高粱酒450ml/瓶","艳阳春, 50, 度, 高粱酒, 450ml, /, 瓶","艳阳春","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","艳阳春","10325947","0","高粱酒"
"艳阳春 60度泡菜坛高粱酒2300ml/瓶","艳阳春, 60, 度, 泡菜, 坛, 高粱酒, 2300ml, /, 瓶","艳阳春","1","泡菜","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","艳阳春","10325914","0",""
"艳阳春 60度磨口瓶高粱酒2300ml/瓶","艳阳春, 60, 度, 磨, 口, 瓶, 高粱酒, 2300ml, /, 瓶","艳阳春","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","艳阳春","10325903","0","高粱酒"
"茅台 38度飞天茅台500ml/瓶","茅台, 38, 度, 飞天, 茅台, 500ml, /, 瓶","茅台","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","茅台","9597244","0",""
"茅台 53度茅台王子500ml/瓶","茅台, 53, 度, 茅台, 王子, 500ml, /, 瓶","茅台","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","茅台","9597266","0",""
"茅台 53度飞天茅台500ml/瓶","茅台, 53, 度, 飞天, 茅台, 500ml, /, 瓶","茅台","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","茅台","161784","0",""
"茅台 一帆风顺52度500ml/瓶","茅台, 一帆风顺, 52, 度, 500ml, /, 瓶","茅台","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","茅台","550652","0",""
"西凤 45°西凤酒180ml/瓶","西凤, 45, °, 西凤酒, 180ml, /, 瓶","西凤","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","西凤","200691","0","西凤酒"
"西凤精品浓香型白酒45度500ml","西凤, 精品, 浓, 香型, 白酒, 45, 度, 500ml","西凤","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","西凤","120967","0","白酒"
"西凤酒45度烤花标500ML/瓶","西凤酒, 45, 度, 烤, 花, 标, 500ML, /, 瓶","","0","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","西凤","10548411","0",""
"小迎驾 白酒220ml/瓶","小, 迎驾, 白酒, 220ml, /, 瓶","迎驾","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","迎驾","326750","0","白酒"
"百年迎驾 四星白酒450ml/瓶","百年, 迎驾, 四星, 白酒, 450ml, /, 瓶","迎驾","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","迎驾","326716","0","白酒"
"迎驾 酒坊500ml/瓶","迎驾, 酒坊, 500ml, /, 瓶","迎驾","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","迎驾","326749","0",""
"迎驾 金星白酒450ml/瓶","迎驾, 金星, 白酒, 450ml, /, 瓶","迎驾","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","迎驾","326738","0","白酒"
"迎驾 银星白酒450ml/瓶","迎驾, 银, 星, 白酒, 450ml, /, 瓶","迎驾","1","白酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","迎驾","326727","0","白酒"
"郎酒 38度1912钟爱500ml/瓶","郎酒, 38, 度, 1912, 钟爱, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","11089762","0",""
"郎酒 50度嘉宾三星郎酒500ml/瓶","郎酒, 50, 度, 嘉宾, 三星, 郎酒, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637613","0",""
"郎酒 50度嘉宾五星郎酒500ml/瓶","郎酒, 50, 度, 嘉宾, 五星, 郎酒, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637624","0",""
"郎酒 50度贵宾五星郎酒100ml/瓶(促销)","郎酒, 50, 度, 贵宾, 五星, 郎酒, 100ml, /, 瓶, (, 促销, )","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10686336","0",""
"郎酒 50度贵宾五星郎酒500ml/瓶","郎酒, 50, 度, 贵宾, 五星, 郎酒, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637635","0",""
"郎酒 52度1912浓香经典500ml/瓶","郎酒, 52, 度, 1912, 浓香, 经典, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","11089819","0",""
"郎酒 53度红花郎十五年陈500ml/瓶","郎酒, 53, 度, 红花, 郎, 十, 五年, 陈, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637668","0",""
"郎酒 53度红花郎十年陈500ml/瓶","郎酒, 53, 度, 红花, 郎, 十年, 陈, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637657","0",""
"郎酒 53度青花郎二十年陈500ml/瓶","郎酒, 53, 度, 青花, 郎, 二, 十年, 陈, 500ml, /, 瓶","郎酒","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","郎酒","10637679","0",""
"52度酒鬼酒500ml/瓶","52, 度, 酒鬼, 酒, 500ml, /, 瓶","酒鬼","99999","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","酒鬼","200726","0","酒"
"金六福 一星52度475ml/瓶","金六福, 一星, 52, 度, 475ml, /, 瓶","金六福","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金六福","486260","0",""
"金六福 三星52度500ml/瓶","金六福, 三星, 52, 度, 500ml, /, 瓶","金六福","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金六福","486248","0",""
"金六福 二星52度500ml/瓶","金六福, 二, 星, 52, 度, 500ml, /, 瓶","金六福","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金六福","486259","0",""
"金六福 四星52度500ml/瓶","金六福, 四星, 52, 度, 500ml, /, 瓶","金六福","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金六福","120843","0",""
"金奖颐生 世博典藏二十年52度/瓶","金奖颐生, 世博, 典藏, 二, 十年, 52, 度, /, 瓶","金奖颐生","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金奖颐生","10292452","0",""
"金奖颐生 世博典藏十五年52度/瓶","金奖颐生, 世博, 典藏, 十, 五年, 52, 度, /, 瓶","金奖颐生","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金奖颐生","10292463","0",""
"金奖颐生 世博典藏十年52度/瓶","金奖颐生, 世博, 典藏, 十年, 52, 度, /, 瓶","金奖颐生","1","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金奖颐生","10292474","0",""
"金门 58度白金龙高粱酒600ml/瓶","金门, 58, 度, 白, 金龙, 高粱酒, 600ml, /, 瓶","金门","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金门","10015471","0","高粱酒"
"金门 58度马萧国宴酒600ml*2瓶装礼盒","金门, 58, 度, 马, 萧, 国宴, 酒, 600ml, *, 2, 瓶装, 礼盒","金门","99999","酒, 礼盒","2","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金门","10015493","0","酒"
"金门 823 58度高粱酒600ml/瓶","金门, 823, 58, 度, 高粱酒, 600ml, /, 瓶","金门","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","金门","10015506","0","高粱酒"
"顺昌源 名果之屋梅酒355ml/瓶","顺昌, 源, 名, 果, 之屋, 梅, 酒, 355ml, /, 瓶","","0","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","11196739","0",""
"顺昌源 杞子酒(五年陈)480ml/瓶","顺昌, 源, 杞, 子, 酒, (, 五年, 陈, ), 480ml, /, 瓶","","0","酒","1","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","11196659","0",""
"顺昌源 老妈冰甜酒750ml/瓶","顺昌, 源, 老妈, 冰, 甜酒, 750ml, /, 瓶","老妈","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","10415879","0","甜酒"
"顺昌源 老妈杞子黑糯米酒500ml/瓶","顺昌, 源, 老妈, 杞, 子, 黑, 糯, 米酒, 500ml, /, 瓶","老妈","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","11196660","0","米酒"
"顺昌源 老妈甜酒大瓶装2500g/瓶","顺昌, 源, 老妈, 甜酒, 大, 瓶装, 2500g, /, 瓶","老妈","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","10415868","0","甜酒"
"顺昌源 老妈甜酒小瓶装350ml/瓶","顺昌, 源, 老妈, 甜酒, 小, 瓶装, 350ml, /, 瓶","老妈","99999","","0","0-5135-5140-5239:食品、饮料、酒水-酒-白酒","顺昌源","11196682","0","甜酒"
