"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","标注类别词"
"上纸 收文簿","上纸, 收文簿","上纸","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","上纸","9672633",""
"添美 软抄(A580页)","添, 美, 软, 抄, (, A580, 页, )","","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚太","9672939","软, 抄"
"添美 软抄(B5 40页)","添, 美, 软, 抄, (, B5, 40, 页, )","","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚太","9672940","软, 抄"
"亚龙 40页A5软抄 （单本出售）","亚龙, 40, 页, A5, 软, 抄, （, 单, 本, 出售, ）","亚龙","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚龙","509115","软, 抄"
"亚龙 60页A5软抄 （单本出售）","亚龙, 60, 页, A5, 软, 抄, （, 单, 本, 出售, ）","亚龙","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚龙","509126","软, 抄"
"亚龙 软抄(A540页)","亚龙, 软, 抄, (, A540, 页, )","亚龙","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚龙","9672951","软, 抄"
"亚龙 软抄(A580页)","亚龙, 软, 抄, (, A580, 页, )","亚龙","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","亚龙","9672973","软, 抄"
"渡边 软抄 A5 40页软抄","渡边, 软, 抄, A5, 40, 页, 软, 抄","渡边","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","渡边","9782596","软, 抄"
"渡边 软抄 A5 40页软抄 12本/封 G5403/G5407","渡边, 软, 抄, A5, 40, 页, 软, 抄, 12, 本, /, 封, G5403/G5407","渡边","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","渡边","9682319","本"
"玛丽 A5 30页软抄","玛丽, A5, 30, 页, 软, 抄","玛丽","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","玛丽","9672917",""
"玛丽 软抄(32K60页)","玛丽, 软, 抄, (, 32K60, 页, )","玛丽","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","玛丽","9672928","软, 抄"
"联华恒越 1+1=1四折便签软抄本 版面1","联华恒越, 1+1, =, 1, 四, 折, 便签, 软, 抄本, 版面, 1","联华恒越","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090441","便签"
"联华恒越 A5家计本 Happy color 版面1","联华恒越, A5, 家计, 本, happy, color, 版面, 1","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090496","本"
"联华恒越 A5家计本 Happy color 版面2","联华恒越, A5, 家计, 本, happy, color, 版面, 2","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090509","本"
"联华恒越 A5家计本 Happy color 版面3","联华恒越, A5, 家计, 本, happy, color, 版面, 3","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090510","本"
"联华恒越 A5家计本 Happy color 版面4","联华恒越, A5, 家计, 本, happy, color, 版面, 4","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090521","本"
"联华恒越 五星物语B5骑马钉本 紫星","联华恒越, 五星物语, B5, 骑马, 钉, 本, 紫, 星","联华恒越","1","五星物语, 钉, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090407",""
"联华恒越 五星物语B6骑马钉本 绿星","联华恒越, 五星物语, B6, 骑马, 钉, 本, 绿, 星","联华恒越","1","五星物语, 钉, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090418",""
"联华恒越 五星物语B7骑马钉本 蓝星","联华恒越, 五星物语, B7, 骑马, 钉, 本, 蓝星","联华恒越","1","五星物语, 钉, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090429",""
"联华恒越 五星物语B8骑马钉本 褐星","联华恒越, 五星物语, B8, 骑马, 钉, 本, 褐, 星","联华恒越","1","五星物语, 钉, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090430",""
"联华恒越 多丽A5硬面抄本 版面1","联华恒越, 多丽, A5, 硬面, 抄本, 版面, 1","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089831",""
"联华恒越 多丽A5硬面抄本 版面2","联华恒越, 多丽, A5, 硬面, 抄本, 版面, 2","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089842",""
"联华恒越 多丽A5硬面抄本 版面3","联华恒越, 多丽, A5, 硬面, 抄本, 版面, 3","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089853",""
"联华恒越 多丽A5硬面抄本 版面4","联华恒越, 多丽, A5, 硬面, 抄本, 版面, 4","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089864",""
"联华恒越 多丽A5车线本 版面1","联华恒越, 多丽, A5, 车, 线, 本, 版面, 1","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090167","车, 线, 本"
"联华恒越 多丽A5车线本 版面2","联华恒越, 多丽, A5, 车, 线, 本, 版面, 2","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090178","车, 线, 本"
"联华恒越 多丽A5车线本 版面3","联华恒越, 多丽, A5, 车, 线, 本, 版面, 3","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090189","车, 线, 本"
"联华恒越 多丽A5车线本 版面4","联华恒越, 多丽, A5, 车, 线, 本, 版面, 4","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090190","车, 线, 本"
"联华恒越 多丽A6硬面抄本 版面1","联华恒越, 多丽, A6, 硬面, 抄本, 版面, 1","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090327",""
"联华恒越 多丽A6硬面抄本 版面2","联华恒越, 多丽, A6, 硬面, 抄本, 版面, 2","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090338",""
"联华恒越 多丽A6硬面抄本 版面3","联华恒越, 多丽, A6, 硬面, 抄本, 版面, 3","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090349",""
"联华恒越 多丽A6硬面抄本 版面4","联华恒越, 多丽, A6, 硬面, 抄本, 版面, 4","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090350",""
"联华恒越 多丽A7三折本便签软抄本 版面1","联华恒越, 多丽, A7, 三, 折本, 便签, 软, 抄本, 版面, 1","联华恒越","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090076","便签"
"联华恒越 多丽A7三折本便签软抄本 版面2","联华恒越, 多丽, A7, 三, 折本, 便签, 软, 抄本, 版面, 2","联华恒越","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090087","便签"
"联华恒越 多丽A7三折本便签软抄本 版面3","联华恒越, 多丽, A7, 三, 折本, 便签, 软, 抄本, 版面, 3","联华恒越","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090098","便签"
"联华恒越 多丽A7三折本便签软抄本 版面4","联华恒越, 多丽, A7, 三, 折本, 便签, 软, 抄本, 版面, 4","联华恒越","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090101","便签"
"联华恒越 多丽B5彩色车线本 绿色小精灵1","联华恒越, 多丽, B5, 彩色, 车, 线, 本, 绿色, 小精灵, 1","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090203","车, 线, 本"
"联华恒越 多丽B5彩色车线本 绿色小精灵2","联华恒越, 多丽, B5, 彩色, 车, 线, 本, 绿色, 小精灵, 2","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090214","车, 线, 本"
"联华恒越 多丽B5彩色车线本 绿色小精灵3","联华恒越, 多丽, B5, 彩色, 车, 线, 本, 绿色, 小精灵, 3","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090225","车, 线, 本"
"联华恒越 多丽B5彩色车线本 绿色小精灵4","联华恒越, 多丽, B5, 彩色, 车, 线, 本, 绿色, 小精灵, 4","联华恒越","99999","车, 线, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090236","车, 线, 本"
"联华恒越 多丽B5软抄本 版面1","联华恒越, 多丽, B5, 软, 抄本, 版面, 1","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090247",""
"联华恒越 多丽B5软抄本 版面2","联华恒越, 多丽, B5, 软, 抄本, 版面, 2","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090258",""
"联华恒越 多丽B5软抄本 版面3","联华恒越, 多丽, B5, 软, 抄本, 版面, 3","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090269",""
"联华恒越 多丽B5软抄本 版面4","联华恒越, 多丽, B5, 软, 抄本, 版面, 4","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090270",""
"联华恒越 多丽B5骑马钉本 版面1","联华恒越, 多丽, B5, 骑马, 钉, 本, 版面, 1","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089875",""
"联华恒越 多丽B5骑马钉本 版面2","联华恒越, 多丽, B5, 骑马, 钉, 本, 版面, 2","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089886",""
"联华恒越 多丽B5骑马钉本 版面3","联华恒越, 多丽, B5, 骑马, 钉, 本, 版面, 3","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089897",""
"联华恒越 多丽B5骑马钉本 版面4","联华恒越, 多丽, B5, 骑马, 钉, 本, 版面, 4","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089900",""
"联华恒越 多丽B6三折本 版面1","联华恒越, 多丽, B6, 三, 折本, 版面, 1","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089955",""
"联华恒越 多丽B6三折本 版面2","联华恒越, 多丽, B6, 三, 折本, 版面, 2","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089966",""
"联华恒越 多丽B6三折本 版面3","联华恒越, 多丽, B6, 三, 折本, 版面, 3","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089977",""
"联华恒越 多丽B6三折本 版面4","联华恒越, 多丽, B6, 三, 折本, 版面, 4","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089988",""
"联华恒越 多丽F4骑马钉本 版面1","联华恒越, 多丽, F4, 骑马, 钉, 本, 版面, 1","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090032",""
"联华恒越 多丽F4骑马钉本 版面2","联华恒越, 多丽, F4, 骑马, 钉, 本, 版面, 2","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090043",""
"联华恒越 多丽F4骑马钉本 版面3","联华恒越, 多丽, F4, 骑马, 钉, 本, 版面, 3","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090054",""
"联华恒越 多丽F4骑马钉本 版面4","联华恒越, 多丽, F4, 骑马, 钉, 本, 版面, 4","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090065",""
"联华恒越 多丽作业登记本 版面1","联华恒越, 多丽, 作业, 登记, 本, 版面, 1","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089911","登记, 本"
"联华恒越 多丽作业登记本 版面2","联华恒越, 多丽, 作业, 登记, 本, 版面, 2","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089922","登记, 本"
"联华恒越 多丽作业登记本 版面3","联华恒越, 多丽, 作业, 登记, 本, 版面, 3","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089933","登记, 本"
"联华恒越 多丽作业登记本 版面4","联华恒越, 多丽, 作业, 登记, 本, 版面, 4","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11089944","登记, 本"
"联华恒越 多丽作业登记本（赠品）","联华恒越, 多丽, 作业, 登记, 本, （, 赠品, ）","联华恒越","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11121678","登记, 本"
"联华恒越 我爱记单词软抄本 版面1","联华恒越, 我爱, 记, 单词, 软, 抄本, 版面, 1","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090361",""
"联华恒越 我爱记单词软抄本 版面2","联华恒越, 我爱, 记, 单词, 软, 抄本, 版面, 2","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090372",""
"联华恒越 我爱记单词软抄本 版面3","联华恒越, 我爱, 记, 单词, 软, 抄本, 版面, 3","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090383",""
"联华恒越 我爱记单词软抄本 版面4","联华恒越, 我爱, 记, 单词, 软, 抄本, 版面, 4","联华恒越","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090394",""
"联华恒越 格子田园风A6线装本 粉粉格","联华恒越, 格子, 田园, 风, A6, 线装, 本, 粉, 粉, 格","联华恒越","99999","本, 粉, 粉","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090736","线装, 本"
"联华恒越 格子田园风A6线装本 紫粉格","联华恒越, 格子, 田园, 风, A6, 线装, 本, 紫, 粉, 格","联华恒越","99999","本, 粉","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090758","线装, 本"
"联华恒越 格子田园风A6线装本 绿粉格","联华恒越, 格子, 田园, 风, A6, 线装, 本, 绿, 粉, 格","联华恒越","99999","本, 粉","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090747","线装, 本"
"联华恒越 格子田园风A6线装本 蓝粉格","联华恒越, 格子, 田园, 风, A6, 线装, 本, 蓝, 粉, 格","联华恒越","99999","本, 粉","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090769","线装, 本"
"联华恒越 梦想A5骑马钉本 版面1","联华恒越, 梦想, A5, 骑马, 钉, 本, 版面, 1","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090532",""
"联华恒越 梦想A5骑马钉本 版面2","联华恒越, 梦想, A5, 骑马, 钉, 本, 版面, 2","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090543",""
"联华恒越 梦想A5骑马钉本 版面3","联华恒越, 梦想, A5, 骑马, 钉, 本, 版面, 3","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090554",""
"联华恒越 梦想A5骑马钉本 版面4","联华恒越, 梦想, A5, 骑马, 钉, 本, 版面, 4","联华恒越","1","钉, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090565",""
"联华恒越 爱在这里L型文件夹 四色混装","联华恒越, 爱, 在这里, L, 型, 文件夹, 四色, 混, 装","联华恒越","1","文件夹","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","联华恒越","11090156","文件夹"
"金谷 32K128张 洛丽塔圆背本 GN-11108(颜色随机）","金谷, 32K128, 张, 洛, 丽, 塔, 圆, 背, 本, GN-11108, (, 颜色, 随机, ）","金谷","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170175","本"
"金谷 40K140张 复古圆背手册 HN-11103(颜色随机）","金谷, 40K140, 张, 复古, 圆, 背, 手册, HN-11103, (, 颜色, 随机, ）","金谷","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170142","手册"
"金谷 48K120张 光年牛皮圆背本 HN-11102(颜色随机）","金谷, 48K120, 张, 光年, 牛皮, 圆, 背, 本, HN-11102, (, 颜色, 随机, ）","金谷","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170153","本"
"金谷 64K128张 镜花缘油边圆背皮本 GN-61105(颜色随机）","金谷, 64K128, 张, 镜花缘, 油, 边, 圆, 背, 皮, 本, GN-61105, (, 颜色, 随机, ）","金谷","1","油, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170164",""
"金谷 64K128张 骑士经典圆背本 JGYC641284(颜色随机）","金谷, 64K128, 张, 骑士, 经典, 圆, 背, 本, JGYC641284, (, 颜色, 随机, ）","金谷","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170120","本"
"金谷 64K96张 永恒经典磁扣本 JGYC64964(颜色随机）","金谷, 64K96, 张, 永恒, 经典, 磁, 扣, 本, JGYC64964, (, 颜色, 随机, ）","金谷","1","扣, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","11170131",""
"金谷 GN-10706 64K 128张 自由飞翔布面圆背手册 颜色随机","金谷, GN-10706, 64K, 128, 张, 自由, 飞翔, 布面, 圆, 背, 手册, 颜色, 随机","金谷","1","手册, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734620","手册"
"金谷 GN-60707 36K 108张 世界之最布面绑带手册 颜色随机","金谷, GN-60707, 36K, 108, 张, 世界之最, 布面, 绑带, 手册, 颜色, 随机","金谷","1","绑带, 手册, 颜色","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734619","绑带, 手册"
"金谷 HN-10501 16K 144张 格子布圆背手册 颜色随机","金谷, HN-10501, 16K, 144, 张, 格子布, 圆, 背, 手册, 颜色, 随机","金谷","1","手册, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734562","手册"
"金谷 HN-10502 25K 160张 格子布圆背手册 颜色随机","金谷, HN-10502, 25K, 160, 张, 格子布, 圆, 背, 手册, 颜色, 随机","金谷","1","手册, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734573","手册"
"金谷 HN-10503 48K 160张 格子布圆背手册 颜色随机","金谷, HN-10503, 48K, 160, 张, 格子布, 圆, 背, 手册, 颜色, 随机","金谷","1","手册, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734584","手册"
"金谷 HN-10506 64K 128张 古花圆背日记本 颜色随机","金谷, HN-10506, 64K, 128, 张, 古, 花, 圆, 背, 日记本, 颜色, 随机","金谷","1","日记本, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734608","日记本"
"金谷 HN-10507 32K 128张 古花圆背日记本 颜色随机","金谷, HN-10507, 32K, 128, 张, 古, 花, 圆, 背, 日记本, 颜色, 随机","金谷","1","日记本, 颜色","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734595","日记本"
"金谷 HN-10602 64K 120张 古典圆背手册","金谷, HN-10602, 64K, 120, 张, 古典, 圆, 背, 手册","金谷","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734551","手册"
"金谷 HN-10603 48K 120张 古典圆背手册","金谷, HN-10603, 48K, 120, 张, 古典, 圆, 背, 手册","金谷","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734540","手册"
"金谷 HN-10604 18K 152张 古典圆背手册","金谷, HN-10604, 18K, 152, 张, 古典, 圆, 背, 手册","金谷","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734324","手册"
"金谷 HN-10702 36K 96张 等待你（彩纸硬抄本） 颜色随机","金谷, HN-10702, 36K, 96, 张, 等, 待你, （, 彩纸, 硬, 抄本, ）, 颜色, 随机","金谷","99999","颜色","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","10734631","硬"
"金谷GN-30134 25K爱你到永远缝线本","金谷, GN-30134, 25K, 爱, 你到, 永远, 缝线, 本","金谷","99999","本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","9642142","本"
"金谷HN-10822 64K96页淡淡爱拉丝硬抄","金谷, HN-10822, 64K96, 页, 淡淡, 爱, 拉丝, 硬, 抄","金谷","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","9642266","硬, 抄"
"金谷HN-10920 32K96页淡淡爱拉丝硬抄","金谷, HN-10920, 32K96, 页, 淡淡, 爱, 拉丝, 硬, 抄","金谷","99999","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","9642255","硬, 抄"
"金谷HS-50133 16K英文简字双线圈本","金谷, HS-50133, 16K, 英文, 简字, 双, 线圈, 本","金谷","99999","线圈, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","9642095","线圈, 本"
"金谷HS-51402  30K豆蔻年华硬线圈本","金谷, HS-51402, 30K, 豆蔻年华, 硬, 线圈, 本","金谷","99999","线圈, 本","2","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","304438","硬, 线圈, 本"
"金谷HSA5100-126 A548页诗歌系列线圈本","金谷, HSA5100-126, A548, 页, 诗歌, 系列, 线圈, 本","金谷","99999","诗歌, 线圈, 本","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","304314","诗歌, 线圈, 本"
"金谷PP-41004 A5PP20孔记事本","金谷, PP-41004, A5PP20, 孔, 记事本","金谷","1","记事本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","304461","记事本"
"金谷PP-41005  B5PP26孔记事本","金谷, PP-41005, B5PP26, 孔, 记事本","金谷","1","记事本","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","金谷","304472","记事本"
"雅莎卡 32K144张 古典圆背手册 LB-32K14222(颜色随机）","雅莎卡, 32K144, 张, 古典, 圆, 背, 手册, LB-32K14222, (, 颜色, 随机, ）","雅莎卡","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","11170222","手册"
"雅莎卡 48K75张 世界和平便签双折本 LB-48K10268(颜色随机）","雅莎卡, 48K75, 张, 世界和平, 便签, 双, 折本, LB-48K10268, (, 颜色, 随机, ）","雅莎卡","1","便签","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","11170200","便签"
"雅莎卡 64K140张 红黑时尚圆背手册 LB-64K10252(颜色随机）","雅莎卡, 64K140, 张, 红, 黑, 时尚, 圆, 背, 手册, LB-64K10252, (, 颜色, 随机, ）","雅莎卡","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","11170197","手册"
"雅莎卡 64K160张 黑红星圆背手册 LB-64K10248 (颜色随机）","雅莎卡, 64K160, 张, 黑, 红星, 圆, 背, 手册, LB-64K10248, (, 颜色, 随机, ）","雅莎卡","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","11170186","手册"
"雅莎卡 64K88张 水晶花扣本手册 LB-64K11233(颜色随机）","雅莎卡, 64K88, 张, 水晶, 花, 扣, 本, 手册, LB-64K11233, (, 颜色, 随机, ）","雅莎卡","99999","扣, 本, 手册","3","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","11170244","本, 手册"
"雅莎卡 LB-32K11241 32K 144张 圆点布面手册","雅莎卡, LB-32K11241, 32K, 144, 张, 圆点, 布面, 手册","雅莎卡","1","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","10734733","手册"
"雅莎卡 LB-36K11239 36K 108张 表情硬抄手册","雅莎卡, LB-36K11239, 36K, 108, 张, 表情, 硬, 抄, 手册","雅莎卡","99999","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","10734700","硬, 抄, 手册"
"雅莎卡 LB-48K24236 48K 192张 古女四合一本册","雅莎卡, LB-48K24236, 48K, 192, 张, 古, 女, 四合, 一本, 册","雅莎卡","1","","0","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","10734755",""
"雅莎卡 LB-64K11238 64K 112张 表情硬抄手册","雅莎卡, LB-64K11238, 64K, 112, 张, 表情, 硬, 抄, 手册","雅莎卡","99999","手册","1","0-361-16629-16781-16796:办公用品-办公文具-薄本及信封-记事本/拍纸本","雅莎卡","10734711","硬, 抄, 手册"
