"商品名","分词结果","旧版分词","类别","品牌"
"OLOMO欧莱诺 男装 尚品本色优雅马甲 11135001","OLOMO,欧莱诺,男装,尚品,本色,优雅,马甲,11135001","olomo,欧莱,诺,男装,尚品,本色,优雅,马甲,11135001","0-123-19567-19577-19584:服装鞋帽-男装.-男装针织衫/毛衫-男装背心/马甲开衫","OLOMO欧莱诺"
"ATOPI 男式淡雅经典条纹全纯棉长袖衬衫 23003 本白黄条","ATOPI,男式,淡雅,经典,条纹,全,纯棉,长袖,衬衫,23003,本,白,黄,条","atopi,男式,淡雅,经典,条纹,纯棉,长袖衬衫,23003,本,白,黄,条","0-123-19567-19585-19587:服装鞋帽-男装.-男装衬衫-男装长袖休闲衬衫","ATOPI欧榜"
"【POLO VILLAE】 专柜正品时尚红条 男士休闲长袖衬衫             ","【,POLO,VILLAE,】,专柜,正品,时尚,红,条,男士,休闲,长袖,衬衫","polo,villae,专柜,正品,时尚,红,条,男士,休闲,长袖衬衫","0-123-19567-19585-19587:服装鞋帽-男装.-男装衬衫-男装长袖休闲衬衫","保罗威特"
"唐狮2011新款 ET 春装男士中袖镶边牛仔衬衫#111111015404","唐狮,2011,新款,ET,春装,男士,中袖,镶边,牛仔,衬衫,#111111015404","唐狮,2011,新款,et,春装,男士,袖,镶边,牛仔,衬衫,111111015404","0-123-19567-19585-19587:服装鞋帽-男装.-男装衬衫-男装长袖休闲衬衫","唐狮"
"Justyle 10海洋气息系列格纹撞色边时髦海军短袖衬衫白色","justyle,10,海洋,气息,系列,格纹,撞色,边,时髦,海军,短袖,衬衫,白色","justyle,10,海洋,气息,格,纹,撞,边,时髦,海军,短袖衬衫,白色","0-123-19567-19585-19588:服装鞋帽-男装.-男装衬衫-男装短袖休闲衬衫","JUSTYLE"
"sevenjoy 7+超赞大红格纹修身版型纯棉格子衬衫 720200429","sevenjoy,7,+,超,赞,大红,格纹,修身,版型,纯棉,格子,衬衫,720200429","sevenjoy,7,+,超,赞,大红,格,纹,修身,版型,纯棉,格子,衬衫,720200429","0-123-19567-19585-19588:服装鞋帽-男装.-男装衬衫-男装短袖休闲衬衫","SEVENJOY柒加尚品"
"TONYJEANS汤尼俊士 透气竖条纹抓皱衬衫120820502-32","TONYJEANS,汤尼,俊,士,透气,竖,条纹,抓,皱,衬衫,120820502-32","tonyjeans,汤尼,俊,士,透气,竖,条纹,抓,皱,衬衫,120820502,32","0-123-19567-19585-19588:服装鞋帽-男装.-男装衬衫-男装短袖休闲衬衫","TONYJEANS"
"马克华菲男装格子短袖翻领衬衫7112031701_045","马克华菲,男装,格子,短袖,翻领,衬衫,7112031701_045","马克,华,菲,男装,格子,短袖,翻领,衬衫,7112031701,045","0-123-19567-19585-19588:服装鞋帽-男装.-男装衬衫-男装短袖休闲衬衫","马克华菲"
"A.H 男装经典商务条纹长袖休闲衬衫 MA300900452","A.H,男装,经典,商务,条纹,长袖,休闲衬衫,MA300900452","h,男装,经典,商务,条纹,长袖,休闲衬衫,ma300900452","0-123-19567-19585-19589:服装鞋帽-男装.-男装衬衫-男装长袖正装衬衫","A.H"
"A.H 男装经典商务长袖休闲衬衫 MA300900194","A.H,男装,经典,商务,长袖,休闲衬衫,MA300900194","h,男装,经典,商务,长袖,休闲衬衫,ma300900194","0-123-19567-19585-19589:服装鞋帽-男装.-男装衬衫-男装长袖正装衬衫","A.H"
"sevenjoy 7+ 六牙白象正品男装洗水磨白褶皱牛仔裤子 11CK14","sevenjoy,7,+,六,牙,白象,正品,男装,洗,水磨,白,褶皱,牛仔,裤子,11CK14","sevenjoy,7,+,六,牙,白象,正品,男装,洗,水磨,白,褶皱,牛仔,裤子,11ck14","0-123-19567-19600-19602:服装鞋帽-男装.-男装长裤 -男装牛仔裤","SEVENJOY柒加尚品"
"SPORTICA斯波帝卡 男装新品男式水洗直筒牛仔长裤 11141629","SPORTICA,斯波帝卡,男装,新品,男式,水洗,直,筒,牛仔,长裤,11141629","sportica,斯波,帝,卡,男装,新品,男式,水洗,直,筒,牛仔,长裤,11141629","0-123-19567-19600-19602:服装鞋帽-男装.-男装长裤 -男装牛仔裤","SPORTICA斯波帝卡"
"MR.ZERO零号男时尚水洗磨损全棉牛仔长裤 BDA0079","MR.ZERO,零号男,时尚,水洗,磨损,全棉,牛仔,长裤,BDA0079","mr,zero,零号,男,时尚,水洗,磨损,全棉,牛仔,长裤,bda0079","0-123-19567-19600-19602:服装鞋帽-男装.-男装长裤 -男装牛仔裤","零号男MR ZERO"
"MR.ZERO零号男腰头格纹水洗全棉牛仔长裤 BDA0091","MR.ZERO,零号男,腰,头,格纹,水洗,全棉,牛仔,长裤,BDA0091","mr,zero,零号,男,腰,头,格,纹,水洗,全棉,牛仔,长裤,bda0091","0-123-19567-19600-19602:服装鞋帽-男装.-男装长裤 -男装牛仔裤","零号男MR ZERO"
"POLO VILLAE 男式绅士正装黑色锥型西裤PFCMBALBF207","POLO,VILLAE,男式,绅士正装,黑色,锥,型,西裤,PFCMBALBF207","polo,villae,男式,绅士,正,装,黑色,锥,西裤,pfcmbalbf207","0-123-19567-19600-19604:服装鞋帽-男装.-男装长裤 -男装西裤","POLO VILLAE"
"nike 360 男 连帽针织夹克 245910 100","nike,360,男,连,帽,针织,夹克,245910,100","nike,360,男,连,帽,针织,夹克,245910,100","0-123-19567-19605-19606:服装鞋帽-男装.-男装外套-男装夹克","nike 360"
"nike golf 男装CC DF 防风长袖全拉链夹克 G8111255246 010","nike,golf,男装,CC,DF,防风,长袖,全,拉链,夹克,G8111255246,010","nike,golf,男装,cc,df,防风,长袖,拉链,夹克,g8111255246,010","0-123-19567-19605-19606:服装鞋帽-男装.-男装外套-男装夹克","nike golf"
"唐狮2011新款 ET 春装男士连帽撞色尼龙外套#111111052404","唐狮,2011,新款,ET,春装,男士,连,帽,撞色,尼龙,外套,#111111052404","唐狮,2011,新款,et,春装,男士,连,帽,撞,尼龙,外套,111111052404","0-123-19567-19605-19606:服装鞋帽-男装.-男装外套-男装夹克","唐狮"
"SPORTICA斯波帝卡 男装时尚休闲保暖防寒中长款顶级羽绒服 10190748","SPORTICA,斯波帝卡,男装,时尚,休闲,保暖,防寒,中长款,顶级,羽绒服,10190748","sportica,斯波,帝,卡,男装,时尚,休闲,保暖,防寒,中长,款,顶级,羽绒服,10190748","0-123-19567-19605-19612:服装鞋帽-男装.-男装外套-男装羽绒服","SPORTICA斯波帝卡"
"MANSUCCINCT 双排扣黑色休闲单西 MH0029 黑色","MANSUCCINCT,双,排,扣,黑色,休闲,单,西,MH0029,黑色","mansuccinct,双,排,扣,黑色,休闲,单,西,mh0029,黑色","0-123-19567-19613-19615:服装鞋帽-男装.-男装西服-男装休闲西服","MANSUCCINCT"
"MANSUCCINCT 黑色金属光泽贴身顺感西服 MH0021 黑色","MANSUCCINCT,黑色,金属光泽,贴身,顺,感,西服,MH0021,黑色","mansuccinct,黑色,金属光泽,贴身,顺,感,西服,mh0021,黑色","0-123-19567-19613-19615:服装鞋帽-男装.-男装西服-男装休闲西服","MANSUCCINCT"
"OLOMO欧莱诺 男装 潮男必修男士西便服 1105410390 黑色","OLOMO,欧莱诺,男装,潮,男,必修,男士,西,便服,1105410390,黑色","olomo,欧莱,诺,男装,潮,男,必修,男士,西,便服,1105410390,黑色","0-123-19567-19613-19615:服装鞋帽-男装.-男装西服-男装休闲西服","OLOMO欧莱诺"
"GIORDA PRINCE佐丹王子男童透气网眼 背心 10039","GIORDA,PRINCE,佐丹王子,男童,透气,网眼,背心,10039","giorda,prince,佐,丹,王子,男童,透气,网眼,背心,10039","0-123-19621-19640-19647:服装鞋帽-童装-中童装7-12岁-中童背心/马甲","佐丹王子"
"GIORDA PRINCE佐丹王子男童男单衫 10008","GIORDA,PRINCE,佐丹王子,男童,男单,衫,10008","giorda,prince,佐,丹,王子,男童,男单,衫,10008","0-123-19621-19867-19961:服装鞋帽-童装-男童-男童短袖T恤","佐丹王子"
"光子美少女 印花插袖衫 粉红","光子美少女,印,花插,袖,衫,粉红","光子,美少女,印,花插,袖,衫,粉红","0-123-19621-19886:服装鞋帽-童装-女童","光子美少女"
"nike 360 男 TERMINATOR LOW 309718 111","nike,360,男,TERMINATOR,LOW,309718,111","nike,360,男,terminator,low,309718,111","0-123-19676-19693-19924:服装鞋帽-鞋靴-男鞋-男式休闲运动鞋","nike 360"
"LOTTO乐途 潮流男运动时尚鞋ELFE005-2黑/白","LOTTO,乐途,潮流,男,运动,时尚鞋,ELFE005-2,黑,/,白","lotto,乐,途,潮流,男,运动,时尚鞋,elfe005,2,黑,白","0-123-19676-19693-19924:服装鞋帽-鞋靴-男鞋-男式休闲运动鞋","乐途"
"他她 2011春季黑色牛皮男鞋 280-10","他她,2011,春季,黑色,牛皮,男鞋,280-10","他,她,2011,春季,黑色,牛皮,男鞋,280,10","0-123-19676-19693-19932:服装鞋帽-鞋靴-男鞋-男式休闲皮鞋","他她"
"他她 2011春季黑色牛皮男鞋 316-01","他她,2011,春季,黑色,牛皮,男鞋,316-01","他,她,2011,春季,黑色,牛皮,男鞋,316,01","0-123-19676-19693-19932:服装鞋帽-鞋靴-男鞋-男式休闲皮鞋","他她"
"法雷诺 2010冬季 黑色打光胎牛皮男鞋 9W10-1","法雷诺,2010,冬季,黑色,打光,胎,牛皮,男鞋,9W10-1","法,雷诺,2010,冬季,黑色,打光,胎,牛皮,男鞋,9w10,1","0-123-19676-19693-19932:服装鞋帽-鞋靴-男鞋-男式休闲皮鞋","法雷诺"
"法雷诺 2011春季黑色胎小牛皮男鞋 LS3509","法雷诺,2011,春季,黑色,胎,小牛皮,男鞋,LS3509","法,雷诺,2011,春季,黑色,胎,小牛皮,男鞋,ls3509","0-123-19676-19693-19932:服装鞋帽-鞋靴-男鞋-男式休闲皮鞋","法雷诺"
"BQUEEN 2011新款欧美时尚款漆皮鱼嘴高跟单鞋D001","BQUEEN,2011,新款,欧美,时尚,款,漆皮,鱼,嘴,高跟,单鞋,D001","bqueen,2011,新款,欧美,时尚,款,漆皮,鱼,嘴,跟单,鞋,d001","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","bqueen"
"他她 2010秋季棕蜡牛皮女皮鞋 FZF23D","他她,2010,秋季,棕,蜡,牛皮,女,皮鞋,FZF23D","他,她,2010,秋季,棕,蜡,牛皮,女,皮鞋,fzf23d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","他她"
"天美意 2010春季新款低跟黄色闪光羊皮镶玉饰女单鞋 天美意    T66-15","天美意,2010,春季,新款,低跟,黄色,闪光,羊皮,镶玉,饰,女,单鞋,天美意,T66-15","天,美意,2010,春季,新款,低,跟,黄色,闪光,羊皮,镶玉,饰,女单,鞋,天,美意,t66,15","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"天美意 2010秋季灰色软牛皮镶色女皮鞋 CMV27D","天美意,2010,秋季,灰色,软,牛皮,镶,色,女,皮鞋,CMV27D","天,美意,2010,秋季,灰色,软,牛皮,镶,女,皮鞋,cmv27d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"天美意 2010秋季白色软牛皮镶色女皮鞋    CTY20D","天美意,2010,秋季,白色,软,牛皮,镶,色,女,皮鞋,CTY20D","天,美意,2010,秋季,白色,软,牛皮,镶,女,皮鞋,cty20d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"天美意 2010秋季黑色羊绒/黑色兔毛女鞋TAO118-04U1CQ0 黑色","天美意,2010,秋季,黑色,羊绒,/,黑色,兔毛,女鞋,TAO118-04U1CQ0,黑色","天,美意,2010,秋季,黑色,羊绒,黑色,兔毛,女鞋,tao118,04u1cq0,黑色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"天美意 2011春季兰色打蜡牛皮 988-33","天美意,2011,春季,兰,色,打蜡,牛皮,988-33","天,美意,2011,春季,兰色,打蜡,牛皮,988,33","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"天美意 2011春季黑/桃红/春兰磨砂牛皮女鞋 0197-2 ","天美意,2011,春季,黑,/,桃红,/,春兰,磨砂,牛皮,女鞋,0197-2","天,美意,2011,春季,黑,桃红,春兰,磨砂,牛皮,女鞋,0197,2","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","天美意"
"百丽 2010秋季酒红滴胶绒布/蕾丝女鞋BKH3016-3L1CQ0 酒红色","百丽,2010,秋季,酒,红,滴,胶,绒布,/,蕾丝,女鞋,BKH3016-3L1CQ0,酒,红色","百丽,2010,秋季,酒红,滴胶,绒布,蕾丝,女鞋,bkh3016,3l1cq0,酒,红色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽 2010秋季黑色小牛皮女鞋BBLBVBT4DU1CM0 黑色","百丽,2010,秋季,黑色,小牛皮,女鞋,BBLBVBT4DU1CM0,黑色","百丽,2010,秋季,黑色,小牛皮,女鞋,bblbvbt4du1cm0,黑色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽 2011春季 黑色皱漆牛女单鞋 3FC19D","百丽,2011,春季,黑色,皱,漆,牛,女,单鞋,3FC19D","百丽,2011,春季,黑色,皱,漆,牛,女单,鞋,3fc19d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽2011黑色皱漆牛女单鞋BBL3CT30DU1AU1 黑色","百丽,2011,黑色,皱,漆,牛,女,单鞋,BBL3CT30DU1AU1,黑色","百丽,2011,黑色,皱,漆,牛,女单,鞋,bbl3ct30du1au1,黑色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽　2010秋季灰色胎牛女鞋 306-1D","百丽,　,2010,秋季,灰色,胎,牛,女鞋,306-1D","百丽,　,2010,秋季,灰色,胎,牛,女鞋,306,1d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽　2010秋季黑色羊皮女鞋 226-88","百丽,　,2010,秋季,黑色,羊皮,女鞋,226-88","百丽,　,2010,秋季,黑色,羊皮,女鞋,226,88","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"百丽　百丽正品 2010秋季蓝色羊猄女鞋 时尚中高跟羊皮鱼嘴 100239","百丽,　,百丽,正品,2010,秋季,蓝色,羊,猄,女鞋,时尚,中,高跟,羊皮,鱼,嘴,100239","百丽,　,百丽,正品,2010,秋季,蓝色,羊,猄,女鞋,时尚,高跟,羊皮,鱼,嘴,100239","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","百丽"
"茵奈儿 2010春秋款 红色压花漆PU女鞋 FWR16D","茵奈儿,2010,春秋,款,红色,压花,漆,PU,女鞋,FWR16D","茵,奈,儿,2010,春秋,款,红色,压花,漆,pu,女鞋,fwr16d","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","茵奈儿"
"达芙妮 Fashion时尚104009345浅口细中跟 灰色","达芙妮,fashion,时尚,104009345,浅,口,细,中跟,灰色","达芙妮,fashion,时尚,104009345,浅,口,细,中跟,灰色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","达芙妮"
"达芙妮 大方简洁百搭款式1030008 黑色","达芙妮,大方,简洁,百搭,款式,1030008,黑色","达芙妮,大方,简洁,百,搭,款式,1030008,黑色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","达芙妮"
"达芙妮 时尚底台中跟款式1030022 蓝色","达芙妮,时尚,底,台,中跟,款式,1030022,蓝色","达芙妮,时尚,底,台,中跟,款式,1030022,蓝色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","达芙妮"
"达芙妮 熟女风范——性感亮片高跟鞋10E3011 蓝色","达芙妮,熟女,风范,—,—,性感,亮片,高跟鞋,10E3011,蓝色","达芙妮,熟女,风范,—,—,性感,亮片,高跟鞋,10e3011,蓝色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","达芙妮"
"达芙妮 特色别致气质款式1030187 浅蓝色","达芙妮,特色,别致,气质,款式,1030187,浅蓝色","达芙妮,特色,别致,气质,款式,1030187,浅蓝色","0-123-19676-19701-19911:服装鞋帽-鞋靴-女鞋-女式单鞋","达芙妮"
"他她 2010夏季黑色蛇纹皮/羊皮女凉鞋 974032","他她,2010,夏季,黑色,蛇纹,皮,/,羊皮,女,凉鞋,974032","他,她,2010,夏季,黑色,蛇纹,皮,羊皮,女,凉鞋,974032","0-123-19676-19701-19913:服装鞋帽-鞋靴-女鞋-女式帆布鞋","他她"
"佐丹奴 经典原色帆布鞋(男女均适用) 29树莓红色","佐丹奴,经典,原色,帆布鞋,(,男女,均,适用,),29,树,莓,红色","佐丹奴,经典,原色,帆布鞋,男女,均,29,树,莓,红色","0-123-19676-19701-19913:服装鞋帽-鞋靴-女鞋-女式帆布鞋","佐丹奴"
"佐丹奴 经典原色帆布鞋(男女均适用) 76葡萄紫色","佐丹奴,经典,原色,帆布鞋,(,男女,均,适用,),76,葡萄,紫色","佐丹奴,经典,原色,帆布鞋,男女,均,76,葡萄,紫色","0-123-19676-19701-19913:服装鞋帽-鞋靴-女鞋-女式帆布鞋","佐丹奴"
"他她 2010春季新款高跟浅口红色漆牛皮女鞋 他她tata热销    FTS17D","他她,2010,春季,新款,高跟,浅,口,红色,漆,牛皮,女鞋,他她,tata,热销,FTS17D","他,她,2010,春季,新款,高跟,浅,口,红色,漆,牛皮,女鞋,他,她,tata,热销,fts17d","0-123-19676-19701-19915:服装鞋帽-鞋靴-女鞋-女式篮球鞋","他她"
"他她 2010秋季黑色皱漆牛皮女皮鞋 2CH04D","他她,2010,秋季,黑色,皱,漆,牛皮,女,皮鞋,2CH04D","他,她,2010,秋季,黑色,皱,漆,牛皮,女,皮鞋,2ch04d","0-123-19676-19701-19915:服装鞋帽-鞋靴-女鞋-女式篮球鞋","他她"
"他她 2010夏季黑色沙丁布女凉鞋 2599829","他她,2010,夏季,黑色,沙,丁,布,女,凉鞋,2599829","他,她,2010,夏季,黑色,沙,丁,布,女,凉鞋,2599829","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","他她"
"他她 2010夏季黑色皱漆牛皮女凉鞋 FLA01D","他她,2010,夏季,黑色,皱,漆,牛皮,女,凉鞋,FLA01D","他,她,2010,夏季,黑色,皱,漆,牛皮,女,凉鞋,fla01d","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","他她"
"他她 2010夏季黑色羊京/灰网布女凉鞋 880916","他她,2010,夏季,黑色,羊,京,/,灰,网布,女,凉鞋,880916","他,她,2010,夏季,黑色,羊,京,灰,网布,女,凉鞋,880916","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","他她"
"他她 2010夏米黄油蜡羊皮女皮凉鞋 FLA33D","他她,2010,夏,米,黄油,蜡,羊皮,女,皮,凉鞋,FLA33D","他,她,2010,夏,米,黄油,蜡,羊皮,女,皮,凉鞋,fla33d","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","他她"
"天美意 2010夏季啡色牛皮女凉鞋 2797029","天美意,2010,夏季,啡,色,牛皮,女,凉鞋,2797029","天,美意,2010,夏季,啡,牛皮,女,凉鞋,2797029","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","天美意"
"天美意 2010夏季玫红软羊皮/玫红系彩女凉鞋    101507","天美意,2010,夏季,玫,红,软,羊皮,/,玫,红,系,彩,女,凉鞋,101507","天,美意,2010,夏季,玫,红,软,羊皮,玫,红,系,彩,女,凉鞋,101507","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","天美意"
"天美意 2010夏季绿色羊皮/彩色布女凉鞋    397-34","天美意,2010,夏季,绿色,羊皮,/,彩色,布,女,凉鞋,397-34","天,美意,2010,夏季,绿色,羊皮,彩色,布,女,凉鞋,397,34","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","天美意"
"百丽　2010夏季浅金蛇纹猪皮女凉鞋 817-2D","百丽,　,2010,夏季,浅,金,蛇纹,猪皮,女,凉鞋,817,-,2D","百丽,　,2010,夏季,浅,金,蛇纹,猪皮,女,凉鞋,817,2d","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","百丽"
"达芙妮 树叶舒软拖鞋1030809 桔黄色","达芙妮,树叶,舒,软,拖鞋,1030809,桔,黄色","达芙妮,树叶,舒,软,拖鞋,1030809,桔,黄色","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","达芙妮"
"达芙妮 精致百搭凉鞋1030084 冬白色","达芙妮,精致,百搭,凉鞋,1030084,冬,白色","达芙妮,精致,百,搭,凉鞋,1030084,冬,白色","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","达芙妮"
"达芙妮 钻饰小花少女拖鞋1030793 白色","达芙妮,钻饰,小花,少女,拖鞋,1030793,白色","达芙妮,钻饰,小花,少女,拖鞋,1030793,白色","0-123-19676-19701-19919:服装鞋帽-鞋靴-女鞋-女式凉鞋/凉拖","达芙妮"
"粉红山羊 水滴型吊坠发圈   PAYF18","粉红山羊,水滴,型,吊坠,发圈,PAYF18","粉红,山羊,水滴,吊坠,发,圈,payf18","0-123-19711-19731-19736:服装鞋帽-个人配件-女式配件-女式其它配件","粉红山羊"
"【幻想曲/VIMUSE】品牌 情侣家居服 时尚条纹纯棉休闲情侣睡衣套装A844+A274","【,幻想曲,/VIMUSE,】,品牌,情侣,家居服,时尚,条纹,纯棉,休闲,情侣,睡衣,套装,A844+A274","幻想曲,vimuse,情侣,家居服,时尚,条纹,纯棉,休闲,情侣,睡衣,套装,a844,+,a274","0-123-19711-19731-19737:服装鞋帽-个人配件-女式配件-女式内衣","幻想曲/VIMUSE"
"【幻想曲/VIMUSE】春秋季女士家居服 夏季可爱纯棉长袖睡衣三件套A07 包邮","【,幻想曲,/VIMUSE,】,春,秋季,女士,家居服,夏季,可爱,纯棉,长袖,睡衣,三件套,A07,包,邮","幻想曲,vimuse,春,秋季,女士,家居服,夏季,可爱,纯棉,长袖,睡衣,三件套,a07,包,邮","0-123-19711-19731-19737:服装鞋帽-个人配件-女式配件-女式内衣","幻想曲/VIMUSE"
"nike 360 女子时尚短袜 SX3366 197","nike,360,女子,时尚,短袜,SX3366,197","nike,360,女子,时尚,短袜,sx3366,197","0-123-19711-19731-19739:服装鞋帽-个人配件-女式配件-女式袜子","nike 360"
"nike 360 都市休闲女子低跟袜 SX2880 122","nike,360,都市,休闲,女子,低跟,袜,SX2880,122","nike,360,都市,休闲,女子,低,跟,袜,sx2880,122","0-123-19711-19731-19739:服装鞋帽-个人配件-女式配件-女式袜子","nike 360"
"10CM☆正装男士商务领带30元礼盒三件套2条40起包邮 A123","10CM,☆,正装,男士,商务,领带,30,元,礼盒,三件套,2,条,40,起,包,邮,A123","10cm,☆,正,装,男士,商务,领带,30,元,礼盒,三件套,2,条,40,起,包,邮,a123","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"TODATBEST 8CM 男士纯色领带礼盒装 S043","TODATBEST,8CM,男士,纯色,领带,礼盒装,S043","todatbest,8cm,男士,纯色,领带,礼盒装,s043","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"TODAYBEST 8CM 男士纯色领带礼盒装 2条40起包邮 百条可选 S059","TODAYBEST,8CM,男士,纯色,领带,礼盒装,2,条,40,起,包,邮,百,条,可选,S059","todaybest,8cm,男士,纯色,领带,礼盒装,2,条,40,起,包,邮,百,条,可选,s059","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"TODAYBEST新款8CM☆窄版男士商务领带礼盒装 2条40起包邮 E002","TODAYBEST,新款,8CM,☆,窄,版,男士,商务,领带,礼盒装,2,条,40,起,包,邮,E002","todaybest,新款,8cm,☆,窄,版,男士,商务,领带,礼盒装,2,条,40,起,包,邮,e002","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"Todaybest 10CM 领带 男 正装 结婚商务休闲礼盒3件套2条包邮A136","todaybest,10CM,领带,男,正装,结婚,商务休闲,礼盒,3,件,套,2,条,包,邮,A136","todaybest,10cm,领带,男,正,装,结婚,商务,休闲,礼盒,3,件,套,2,条,包,邮,a136","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"Todaybest 10CM 领带 男 正装 结婚商务休闲礼盒3件套2条包邮T064","todaybest,10CM,领带,男,正装,结婚,商务休闲,礼盒,3,件,套,2,条,包,邮,T064","todaybest,10cm,领带,男,正,装,结婚,商务,休闲,礼盒,3,件,套,2,条,包,邮,t064","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E023","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E023","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e023","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E041","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E041","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e041","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E063","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E063","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e063","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E090","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E090","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e090","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E092","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E092","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e092","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"特价包邮  TODAYBEST正装男士商务领带南韩丝系列礼盒装三件套 E130","特价,包,邮,TODAYBEST,正装,男士,商务,领带,南韩,丝,系列,礼盒装,三件套,E130","特价,包,邮,todaybest,正,装,男士,商务,领带,南韩,丝,礼盒装,三件套,e130","0-123-19711-19771-19779:服装鞋帽-个人配件-男式配件-男式领带/领结",""
"nike 360 NIKE SWOOSH　翻边袜 SX2588 101","nike,360,NIKE,SWOOSH,　,翻,边,袜,SX2588,101","nike,360,nike,swoosh,　,翻,边,袜,sx2588,101","0-123-19711-19771-19784:服装鞋帽-个人配件-男式配件-男式袜子","nike 360"
